Perplexity,AbsLearnSignalOld,EnvExecTime,AverageDiscountedReturn,Time,MaxReturn,LossAfter,ExplainedVariance,NumTrajs,LossBefore,dLoss,MeanKL,PolicyExecTime,AveragePolicyStd,Iteration,AbsLearnSignal,MinReturn,Entropy,StdReturn,MeanKLBefore,ProcessExecTime,ItrTime,AverageReturn,AbsLearnSignalNew
17.079468,0.697844483,0.07026124,-46.1690013339,0.805644989,-73.4660446498,-0.015334828,1.0938139283212E-11,2,0.028808616,0.044143446,0.006929772,0.0858454704,1,0,0.6977262124,-90.6546104418,2.837877,8.594282896,0,0.0040745735,0.8056337833,-82.0603275458,0.6977262124
17.086266,0.7119653211,0.0809900761,-169.825023145,1.2163889408,-411.2059792932,0.017997175,-74.7121142142,2,0.06009877,0.042101596,0.0091071725,0.0804553032,1.0001992,1,0.711975415,-423.6311655745,2.838275,6.2125931407,0,0.0047404766,0.3966691494,-417.4185724338,0.711975415
17.428692,0.526071301,0.0778880119,-121.005329471,1.5825233459,-243.711806221,-0.13766113,-12.5658771911,2,0.0635853,0.20124644,0.008984661,0.0797681808,1.01026,2,0.5260685526,-350.9109267263,2.8581178,53.5995602527,0,0.0043027401,0.3587315083,-297.3113664737,0.5260685526
17.488298,0.8822188582,0.0646054745,-123.7454616676,1.9334070683,-279.4248240009,0.051780634,0.5320789223,2,0.08427151,0.03249088,0.0068871835,0.0689189434,1.0119907,3,0.8822387287,-401.9495768958,2.861532,61.2623764474,0,0.0037360191,0.3465144634,-340.6872004484,0.8822387287
17.227457,0.7045992319,0.0707685947,-126.1070603013,2.8783917427,-91.0972289023,-2.1362082635,2.4147842,-3.3113350589,2,3.1459747858,2.5062463,63.724434,0.091462135,0.009574053,2.015863,2.5071682328,0.070950985,1.0051035,4,0.7046042604,,-523.7192761891,-1.9903468
17.583426,0.5993481563,0.1078915596,-115.100641527,3.8746542931,-223.2366708733,-2.2001623118,2.3810697,-72.7738538796,2,3.19695306,2.4673667,57.45243,0.086297035,0.006600495,2.456255,2.3770233449,0.0968599319,1.0153899,5,0.5993128213,,-444.2607633759,-2.2029967
17.649464,0.7021445656,0.090924263,8.7944716238,4.8076901436,-29.7084186446,-2.138478263,-0.61080164,-3.0292926062,2,3.1818370803,-0.50113726,57.117264,0.10966438,0.0066693653,2.4053316,2.2738233412,0.0818932056,1.0173835,6,0.7022112757,,-53.6935703024,-2.11531
17.670006,0.7646214844,0.0676524639,-161.6284866303,5.6836149693,-244.2837146207,-2.530490401,4.6123986,-148.8832306091,2,3.4782943634,4.716275,53.972713,0.10387659,0.0065800846,2.8790402,2.254650749,0.0680510998,1.0182357,7,0.7646497342,,-513.6658823304,-2.490848
17.703732,0.8287701721,0.1010830402,-176.8809640978,6.6333768368,-405.0250207927,-2.9896866142,3.5962927,-43.3920825759,2,3.8490508316,3.7086763,57.729576,0.112383604,0.009977482,3.397818,2.4325176994,0.0921616554,1.0192808,8,0.8287300318,,-479.0359718594,-2.9947567
17.54607,0.6022013307,0.0880589485,-129.1513023189,7.5997173786,-314.6063510341,-3.0577102819,2.914449,-53.5658643149,2,3.9000511378,3.0225198,48.679005,0.10807085,0.0068219625,3.5360782,2.2169627986,0.0856392384,1.0149156,9,0.6022909797,,-350.8077693622,-3.0753727
17.507563,0.6045335784,0.1171095371,-71.7545241835,8.5849671364,-212.8202136117,-3.4691031534,3.1317387,-3.4158787368,2,4.3385830221,3.2507625,53.97316,0.1190238,0.0068608555,4.0122166,2.3381780679,0.0930426121,1.0137348,10,0.6029537633,,-278.3796209765,-3.473709
17.479033,0.6714470324,0.1591396332,-68.9713212281,9.6923172474,-90.1563165294,-3.464880984,2.2449071,-11.5070093246,2,4.391959225,2.3991735,46.40981,0.15426636,0.006557605,4.0882926,2.2157488567,0.1153209209,1.0126961,11,0.6715189563,,-381.9812191193,-3.4799664
17.490004,0.727338997,0.1569342613,-75.6507206906,10.7815680504,-123.2559681631,-3.408527976,2.824216,-17.3982386139,2,4.3952211136,2.92403,35.761227,0.09981418,0.0066823466,4.077013,2.0785477495,0.1242966652,1.0129443,12,0.7273314445,,-424.175391539,-3.4222083
17.564001,0.5283936289,0.1576933861,-64.7344813287,11.8840372562,-139.5333490877,-3.3959423412,3.4152668,-25.4113791047,2,4.5052667863,3.5488906,32.6479,0.13362384,0.0099149365,4.13418,1.9565475931,0.1212210655,1.0147969,13,0.5281910485,,-301.3405289187,-3.3840034
17.245165,0.8944690715,0.0791583061,-60.74232514,12.7819237709,-220.6049751466,-3.6839201031,2.6032465,-1.9212982283,1,4.848027611,2.7079031,32.17344,0.1046567,0.006796794,4.5622306,1.9496764482,0.0613584518,1.0056777,14,0.8937674666,,-220.6049751466,-3.6793683
17.494595,0.6656157456,0.0859189034,-52.3539754854,13.7012500763,-132.1914521365,-3.5111060782,1.2103854,-285.8700001706,1,4.8377462103,1.3418344,24.394154,0.13144898,0.006067434,4.5094233,1.8046898942,0.0679347515,1.0134196,15,0.6658377694,,-132.1914521365,-3.5147336
17.46083,0.6333466698,0.1428236961,-91.4033379557,14.7273635864,-275.8954894326,-3.6840023118,3.524116,-19.755322957,2,5.1449761231,3.6535175,26.178091,0.12940145,0.006651554,4.8741693,1.8473725071,0.1114592552,1.0125903,16,0.6331039036,,-326.2742157115,-3.692567
17.478048,0.4574543814,0.1426985264,-108.7071800773,15.7625072002,-171.8815227838,-3.9691451119,5.4510407,-5.3585864864,2,5.5589509707,5.587452,24.82245,0.13641119,0.0067521348,5.313623,1.898388471,0.114841938,1.0128337,17,0.4573508371,,-530.6520281968,-3.9722457
17.564358,0.5121478454,0.1733930111,-101.6244046942,16.8437085152,-208.0788371096,-4.2723502321,6.4221544,-2.2724719383,2,5.993876961,6.5629272,23.819965,0.14077282,0.0067042666,5.669867,1.8742060522,0.1223435402,1.0155795,18,0.5117376832,,-546.0908845751,-4.2773557
17.58154,0.823126536,0.0988249779,-15.8219029319,17.780680418,-102.4619705909,-4.2595032087,2.602415,-282.5858028841,1,6.2226799752,2.7342496,23.074707,0.1318345,0.0065442007,5.9539337,1.8386793045,0.0666611195,1.015985,19,0.8233227387,,-102.4619705909,-4.2823124
17.664362,0.8648326947,0.0857050419,-60.8576463485,18.6706819534,-199.3278708778,-4.3693767962,2.7143695,-0.5538669351,1,6.4970369152,2.8451862,21.853832,0.1308167,0.0066237175,6.2019835,1.8334120988,0.0624966621,1.0183617,20,0.8656198038,,-199.3278708778,-4.36189
17.508457,0.5432432377,0.1345758438,-43.236543358,19.6485619545,-102.451574654,-4.3107039552,2.7227926,-24.843485116,2,6.5278881386,2.8125248,17.829496,0.08973217,0.006470499,6.2888904,1.7471294975,0.1029963493,1.0138332,21,0.5430466004,,-191.6673904215,-4.30937
17.47369,0.6402938143,0.0975518227,-27.1030582314,20.5724568367,-220.2358447638,-4.1095902404,3.6268384,-5.4631213421,1,6.7458107093,3.7328193,16.466154,0.10598087,0.006431811,6.4818726,1.693347069,0.0663805008,1.0131956,22,0.6381321305,,-220.2358447638,-4.110336
17.528137,0.7891105695,0.0845637321,-38.4370301372,21.4825463295,-100.0087440761,-4.3940718327,1.6997072,-62.285729317,1,7.0579040981,1.80104,15.482268,0.1013329,0.0067332303,6.802664,1.6814498116,0.0616579056,1.0144792,23,0.7883685184,,-100.0087440761,-4.3896008
17.455145,0.6340534614,0.0940921307,-41.8040442141,22.4537575245,-133.7259446472,-4.2597932068,1.3198057,-4.2308968612,1,7.240054296,1.4782962,18.621614,0.15849042,0.007016821,6.9632134,1.7392939759,0.0643911362,1.0126405,24,0.6370560821,,-133.7259446472,-4.25076
17.378647,0.5170887899,0.0877037048,-47.2409911365,23.3723108768,-177.5734521765,-4.326725415,4.645924,-10.605077872,1,7.5546195426,4.7883644,15.834053,0.14244032,0.0065304004,7.302121,1.6961919841,0.0646979809,1.0103103,25,0.5169468051,,-177.5734521765,-4.306503
17.366879,0.7243693959,0.0814573765,-22.2082930305,24.2585492134,-45.7453700348,-4.3856848282,0.7716755,-2294.0404569358,1,7.6595093116,0.9336673,16.044262,0.16199178,0.0070835496,7.44113,1.6653491512,0.0652968884,1.0099512,26,0.7244596275,,-45.7453700348,-4.384677
17.436447,0.547487703,0.0850417614,-23.4809828773,25.174602747,-104.1131931358,-4.0553754668,2.3232021,-50.611089703,1,7.5895023563,2.4411101,15.416282,0.117908,0.006547874,7.3723445,1.7034010165,0.0641415119,1.0118928,27,0.5475844303,,-104.1131931358,-4.057622
17.520655,0.7823765191,0.0872066021,-31.6714439232,26.0923941135,-106.659131776,-3.9961732208,2.228502,-0.6902328958,1,7.8186520318,2.3573008,11.046435,0.12879872,0.0066660913,7.616398,1.5937425893,0.063536644,1.0147666,28,0.7823982272,,-106.659131776,-3.9858007
17.420288,0.7727487554,0.0766339302,-35.6080736841,26.997957468,-69.6415394778,-4.1940788806,2.0391111,-10.1172914344,1,8.2947890996,2.1695435,15.485215,0.13043237,0.006830102,8.097982,1.6755935438,0.0625097752,1.0117569,29,0.7718399753,,-69.6415394778,-4.1860514
17.16567,0.7417366815,0.0887753963,-22.8121913373,27.8957335949,-77.8622201208,-4.338333002,2.0288072,-3.4419833276,1,8.4257101853,2.1242843,15.178869,0.095477104,0.0067935777,8.185269,1.6935659884,0.0634508133,1.0042624,30,0.7420234471,,-77.8622201208,-4.316455
16.820396,0.7329525011,0.0940744877,-1.9914764928,28.8096458912,-17.29635631,-4.1346363704,0.7819018,-0.2226208132,1,8.5898685316,0.88534033,13.041213,0.103438556,0.0064226217,8.400967,1.6273184452,0.0620260239,0.99455214,31,0.732168771,,-17.29635631,-4.1490016
16.687483,0.6864164378,0.0843653679,-27.515478523,29.72570014,-42.0402478094,-3.7219670651,1.4244375,-7.2600107908,1,8.4600328512,1.4744893,10.095289,0.05005181,0.006270376,8.279168,1.5226406398,0.0652024746,0.9906823,32,0.6874060452,,-42.0402478094,-3.7021441
