AverageDiscountedReturn,Time,MinReturn,MeanKL,NumTrajs,AverageReturn,LossAfter,Iteration,AbsLearnSignalOld,LossBefore,MeanKLBefore,Perplexity,AbsLearnSignal,ProcessExecTime,ItrTime,StdReturn,dLoss,ExplainedVariance,PolicyExecTime,AveragePolicyStd,EnvExecTime,MaxReturn,Entropy,AbsLearnSignalNew,,,,,,
-72.6392241568,0.9281182289,-192.5825266419,0.009392672,2,-138.6882314647,-0.04898229,0,0.8204241855,0.0153706055,0,17.079464,0.8201030064,0.0042600632,0.9281082153,53.8942951773,0.06435289,7.66753327496872E-12,0.0992119312,1,0.0693843365,-84.7939362874,2.8378768,0.8201030064,,,,,,
-64.4441003024,1.3261432648,-196.8121407081,0.00929315,2,-132.3656273284,-0.16704684,1,0.6797119288,-0.028299436,0,16.680382,0.6796858917,0.0041358471,0.3795301914,64.4465133796,0.13874741,-67.874273428,0.0697927475,0.98833644,0.0636665821,-67.9191139488,2.8142333,0.6796858917,,,,,,
-38.6825779478,1.6828870773,-111.6329512947,0.0071581746,2,-95.092424186,-0.08187346,2,0.6565859242,-0.033003215,0,16.472326,0.6565687062,0.0039196014,0.3506727219,16.5405271087,0.048870247,-373.9849001747,0.0664718151,0.9821331,0.0655214787,-78.5518970773,2.8016818,0.6565687062,,,,,,
-85.6591446382,2.1235609055,-258.3773811633,0.007841414,3,-180.8691134236,-0.043136176,3,0.7640765556,0.013605754,0,16.323812,0.7640689375,0.0057861805,0.4363331795,63.2645988447,0.05674193,-9.1930269208,0.1021783352,0.97772706,0.0981683731,-103.4114199699,2.792625,0.7640689375,,,,,,
2.3729862815,-1.2992706804,-117.751395258,3.2206010818,2,-259.7509900883,,,0.93136036,77.6441,4,0.648020678,1.0224984,0,16.53758,0.6481852762,0.0054614544,1.0920770168,1.1431974,59.0680380173,0.091138005,-6.8483602949,0.0986008644,0.98416466,0.1070029736,-200.682952071,2.4200598358,2.8056355,-1.0982798,0.6481852762
2.2522732452,-1.4607263066,-95.179818687,4.1531538963,2,-196.3768232814,,,1.0871084,63.78022,5,0.7152338733,1.1964377,0,16.241695,0.7149869506,0.0035412312,0.92345047,1.8381876,24.9881876751,0.10932934,-40.2018969443,0.0662090778,0.97533,0.0634393692,-171.3886356062,2.4743347137,2.7875817,-1.4262499,0.7149869506
1.881066845,-1.3294319204,-87.9336870124,5.1070833206,2,-169.3280883005,,,1.0732852,48.052834,6,0.6368917265,1.1685759,0,16.490948,0.6351422836,0.0034461021,0.9469177723,1.8482535,31.6665562113,0.09529066,-2.3533662431,0.0605516434,0.9826802,0.0548963547,-137.6615320891,2.2598658733,2.8028116,-1.3420215,0.6351422836
1.9995873845,-1.5826216076,-102.7988601566,6.1128358841,2,-192.3968763598,,,1.412416,55.9468,7,0.7152439706,1.5608728,0,16.22077,0.7157379599,0.0046379566,0.9973340034,2.263816,24.5048339791,0.14845681,-4.9466858148,0.0876381397,0.9746801,0.0789310932,-167.8920423807,2.6166757326,2.7862926,-1.5800202,0.7157379599
1.9796853815,-1.5632365303,-99.4891572411,7.1026666164,2,-220.3341063507,,,2.2209523,55.04839,8,0.4659917892,2.3557482,0,16.156738,0.4654589291,0.0047252178,0.9840297699,2.412707,22.6434454613,0.1347959,-6.7863634803,0.0853672028,0.9727613,0.0868272781,-197.6906608894,2.7506435832,2.7823372,-1.5714841,0.4654589291
1.9308670948,-1.5018609366,-61.31078627,8.0848879814,3,-121.7843472837,,,0.9754348,53.102448,9,0.7044040622,1.1185113,0,16.16706,0.7043782464,0.005607605,0.9736952782,2.4958582,28.6273409335,0.14307654,-153.6164561101,0.1009430885,0.9730878,0.0909833908,-92.2353547226,2.8352040662,2.782976,-1.478895,0.7043782464
1.8712669907,-1.5232403672,-109.3974336616,9.0616803169,2,-280.5431754582,,,3.449462,57.772255,10,0.6806953391,3.6498299,0,16.161242,0.6807694642,0.0045983791,0.9712557793,2.7502456,85.9906416698,0.20036793,-12.8186379502,0.0794210434,0.97290486,0.07944417,-194.5525337884,3.0667592318,2.782616,-1.551539,0.6807694642
1.832975722,-1.5700434261,-65.6949238746,10.0211369991,2,-143.6567921971,,,0.8340203,55.656483,11,0.7354901217,0.9803251,0,16.053078,0.7350521301,0.0051589012,0.9540781975,2.9337318,18.9356130287,0.14630479,-19.1262401912,0.0839099884,0.969703,0.0818734169,-124.7211791684,3.295529183,2.7759006,-1.5663042,0.7350521301
1.911507729,-1.5902011523,-43.1216379063,11.0246191025,2,-143.1781431919,,,0.97717196,54.72197,12,0.7819456268,1.1441025,0,15.932428,0.7814700772,0.0048122406,0.9445111752,3.1139555,25.909233261,0.1669305,-2.7671639895,0.0907802582,0.9660954,0.0790567398,-117.2689099309,3.4709069659,2.7683566,-1.5949887,0.7814700772
1.9617620017,-1.6352342546,-33.9744882089,12.0274090767,2,-103.6789318846,,,0.7137456,56.588898,13,0.8243223305,0.8901849,0,15.883831,0.8238214228,0.0056667328,0.9955878258,3.4086883,7.8771300675,0.17643929,-4.7154759644,0.0920562744,0.9645895,0.105186224,-95.8018018171,3.7565876216,2.7653017,-1.6261581,0.8238214228
1.8658476599,-1.4297053312,-46.202401316,13.0678346157,2,-152.0574163238,,,0.46245226,48.13579,14,0.7534771643,0.601087,0,15.90448,0.7543629443,0.0062537193,1.034463644,3.4154289,56.6491768384,0.13863471,-1.4970053045,0.1085925102,0.9652544,0.1060070992,-95.4082394854,3.771792555,2.7666008,-1.430693,0.7543629443
1.7966435648,-1.4951969061,-52.7732463984,14.1425235271,2,-114.5639029382,,,1.5987554,38.405003,15,0.5658542867,1.7474717,0,15.9776125,0.5668401608,0.006534338,1.0695645809,3.7742164,50.7005948784,0.14871633,-2.4280124286,0.1146080494,0.9675649,0.127175808,-63.8633080598,4.0906080439,2.7711885,-1.4837221,0.5668401608
1.5851485666,-1.3699136795,-34.4373848069,15.1730144024,2,-14.8802403127,,,-0.48117372,26.795681,16,0.7460729772,-0.3674081,0,16.101885,0.7468540443,0.0056960583,1.0209577084,4.007356,113.429480495,0.11376563,-0.7531086512,0.1009232998,0.97121483,0.1219074726,98.5492401823,4.2267575367,2.7789364,-1.3658245,0.7468540443
1.6990906743,-1.4373737356,-44.3451403315,16.2386112213,2,-116.4759640289,,,1.2436483,34.570816,17,0.8084245165,1.4044214,0,15.918759,0.8092952152,0.0049490929,1.0565049648,4.275941,5.5524084586,0.16077316,-1.8473297153,0.0881268978,0.96559274,0.0927455425,-110.9235555703,4.5728220352,2.7674983,-1.4381794,0.8092952152
1.6016233273,-1.4860474342,-23.9052361302,17.2929904461,2,-140.9192573693,,,0.8837622,27.387442,18,0.8123292988,1.0421708,0,15.936714,0.8118326103,0.005232811,1.0449619293,4.5168595,24.0367813368,0.15840858,-3.0902907117,0.0969293118,0.966107,0.1118047237,-116.8824760325,4.7652298843,2.7686255,-1.4728637,0.8118326103
1.5418846319,-1.3044837706,-24.9971604863,18.3956475258,2,-104.515898075,,,1.379985,25.533144,19,0.7447643475,1.5381045,0,15.851002,0.7438390809,0.0065970421,1.0954637527,4.657404,6.2863985601,0.15811956,-11.0914089118,0.1208732128,0.9636424,0.1541628838,-98.2294995149,4.9182566335,2.7632327,-1.2990832,0.7438390809
1.5262547552,-1.2810494369,-29.8984580348,19.4821069241,2,-70.201481084,,,0.39248487,21.100958,20,0.6843080467,0.48041016,0,15.73617,0.6848258295,0.0067808628,1.0803191662,4.9475646,4.6651070758,0.087925285,-4.350825615,0.1245315075,0.9601943,0.1483898163,-65.5363740082,5.1636409492,2.755962,-1.2644203,0.6848258295
1.4850540716,-1.0103533601,10.4960678115,20.4237000942,1,119.1442114851,,,0.865824,19.47622,21,0.8366375714,0.96850795,0,15.736988,0.8368932468,0.0039246082,0.9360272884,5.1336384,0,0.10268396,0.5404329099,0.0670711994,0.96023756,0.0897407532,119.1442114851,5.3460540774,2.7560139,-1.0009847,0.8368932468
1.5738836861,-1.5442224246,-10.824571862,21.4195361137,1,-9.0031477895,,,11.566381,22.335155,22,0.6668986678,11.731245,0,15.883127,0.6670082723,0.0037100315,0.9336721897,5.8890395,0,0.16486359,-1082.0198509903,0.0663561821,0.96463585,0.0856990814,-9.0031477895,6.0970212181,2.7652574,-1.5384183,0.6670082723
1.4952699747,-1.3511551922,-4.506002783,22.3344261646,1,-25.1883822741,,,-1.4119719,20.605661,23,0.6988043835,-1.2721608,0,16.104631,0.6986882737,0.0036678314,0.9073126316,6.0592647,0,0.13981116,-31.8281487241,0.061589241,0.9713379,0.0727293491,-25.1883822741,6.2703735176,2.7791069,-1.3560427,0.6986882737
1.5150025831,-1.2898011292,-6.6174946247,23.2866637707,1,-41.6569627661,,,-0.35117334,22.956614,24,0.8002503343,-0.21179529,0,15.961819,0.8005905054,0.0037584305,0.9463996887,6.195598,0,0.13937806,-8.1694241214,0.0657744408,0.9668821,0.0841104984,-41.6569627661,6.4391620669,2.7701995,-1.2833525,0.8005905054
1.433187766,-1.0197385912,-10.2466183475,24.3701720238,2,-63.2148172777,,,0.988656,17.335382,25,0.6144440117,1.171765,0,16.060022,0.6144562332,0.0067713261,1.0756120682,6.2272463,8.7026827542,0.18310899,-18.2027977893,0.1225783825,0.96980083,0.1622703075,-54.5121345235,6.4187940206,2.776333,-0.99267423,0.6144562332
1.4522782966,-0.9286651328,-3.6402786474,25.3649427891,1,7.1622674023,,,0.5542915,18.570917,26,0.6464914559,0.7167329,0,16.090403,0.6502837815,0.0037910938,0.9874713421,6.451148,0,0.16244143,-0.3550440143,0.0686495304,0.9707179,0.0825839043,7.1622674023,6.6774451005,2.778223,-0.9284731,0.6502837815
1.5330916805,-0.9277246844,6.6018185119,26.4857509136,2,7.1037305739,,,-1.276884,18.8842,27,0.8238171656,-1.1838394,0,15.876899,0.824786593,0.0071084499,1.1149134636,6.76917,47.9809272899,0.09304452,-0.2995684906,0.1163446903,0.9642219,0.1491444111,55.0846578638,6.9845117971,2.7648652,-0.91069764,0.824786593
1.4595096715,-0.8501245879,4.0182623516,27.4679822922,1,14.6996002801,,,-3.390993,18.779331,28,0.905556227,-3.2871103,0,16.172897,0.904503781,0.0035181046,0.9735615253,6.972296,0,0.10388279,-10.6038274957,0.0659921169,0.9731917,0.0880992413,14.6996002801,7.1845663909,2.7833369,-0.8283894,0.904503781
1.4119864044,-0.7295772747,-1.8659577394,28.4272334576,1,56.5390233531,,,-1.8708407,15.864096,29,0.8160463837,-1.7359406,0,16.19097,0.8175791772,0.0039491653,0.9522335529,7.2054844,0,0.1349001,0.544981168,0.0713300705,0.9736781,0.0940797329,56.5390233531,7.3650540375,2.7844536,-0.7195469,0.8175791772
1.4239155857,-0.5804742182,-8.5278647075,29.4390728474,1,2.8281993513,,,-1.9995846,15.599676,30,0.8597127056,-1.8894413,0,16.314941,0.8610519969,0.0037367344,1.0064268112,7.202462,0,0.110143304,-1.5130754859,0.073523283,0.9773734,0.0911550522,2.8281993513,7.4338063666,2.7920814,-0.557483,0.8610519969
1.5289061195,-0.6957447144,19.074242801,30.426046133,1,63.6612920358,,,-4.7274,18.349072,31,0.7214223431,-4.6329436,0,16.3493,0.7222536599,0.0041561127,0.981695652,7.665329,0,0.094456196,-3.549397753,0.0691947937,0.97840196,0.0992293358,63.6612920358,7.8712678075,2.7941852,-0.69667643,0.7222536599
1.474761972,-0.226290079,-21.3495920506,31.4310843945,1,-24.4607343522,,,-3.7315018,16.948755,32,0.8959284595,-3.6397622,0,16.756666,0.8956370688,0.004130125,0.9994735718,7.7804017,0,0.091739655,-2.7520631403,0.0708265305,0.9905254,0.109162569,-24.4607343522,7.9475512667,2.8187962,-0.20671363,0.8956370688
1.5178047978,0.0091412942,-8.8034177886,32.4486305714,1,-15.7827472389,,,-2.8502223,17.7622,33,0.6548914253,-2.734789,0,16.825005,0.655650948,0.0037789345,0.9625449181,8.02506,0,0.115433455,-17.3008013077,0.0685167313,0.99259275,0.0907533169,-15.7827472389,8.2179419289,2.8228662,0.013961728,0.655650948
1.5676847153,-0.2407559664,-55.3889578971,33.3879389763,1,-145.3509562648,,,-1.2408174,18.602524,34,0.5800647828,-1.1410964,0,17.196306,0.5797708592,0.0037286282,0.9338247776,8.377694,0,0.099721074,-3.7250581616,0.070101738,1.003418,0.091199398,-145.3509562648,8.58212096,2.8446946,-0.20829135,0.5797708592
1.4944969677,-0.197125003,18.9887996537,34.3963608742,1,1.092010537,,,-2.5055168,16.265852,35,0.8368603972,-2.401103,0,17.227955,0.837506262,0.0038981438,1.0022690296,8.448677,0,0.10441375,-8.5046866891,0.0640280247,1.0043387,0.0863258839,1.092010537,8.6320383567,2.8465333,-0.19179483,0.837506262
1.4516565283,-0.0133608337,-53.9737017724,35.3820762634,1,-184.7388778054,,,-1.1171577,16.734499,36,0.7353469391,-1.0358531,0,17.275782,0.7353332409,0.0043032169,0.9758784771,8.808266,0,0.08130455,-241.7679477837,0.07401824,1.0057315,0.1071407795,-184.7388778054,8.9976118276,2.8493056,-0.0009911918,0.7353332409
1.4057775618,0.0882722603,-18.5391560838,36.376003027,1,-32.4171786134,,,-1.4349076,12.357124,37,0.7297899805,-1.3699471,0,17.087614,0.7298190982,0.0039196014,0.9841251373,8.937204,0,0.06496048,-652.2067118558,0.0708572865,1.0002886,0.1050224304,-32.4171786134,9.0656284439,2.8383539,0.112390645,0.7298190982
1.5529121539,0.2200925632,-3.0831914548,37.389292717,1,7.4811234351,,,-3.0992224,12.950562,38,0.7435068311,-3.0180616,0,17.511438,0.7444111233,0.0039451122,1.0041024685,9.101772,0,0.081160784,-1.6636878035,0.065059185,1.0126797,0.0852923393,7.4811234351,9.2684209479,2.8628542,0.21787201,0.7444111233
1.4762479606,0.3785882316,-50.6319397328,38.6941146851,2,-222.6129595998,,,-2.8175557,13.875156,39,0.5285171044,-2.729897,0,17.778414,0.5281136136,0.0088219643,1.2973585129,9.213919,194.2523850889,0.08765864,-0.5984644544,0.1592354774,1.020285,0.1984658241,-28.3605745109,9.3434002765,2.877985,0.3739598,0.5281136136
1.5681898165,0.6779541945,-79.1833838126,39.7379670143,1,-260.6363218392,,,-2.1357954,17.068134,40,0.7646585828,-2.0749629,0,17.55443,0.7645143181,0.0038597584,1.0386531353,9.396209,0,0.0608325,-13.9422634617,0.072810173,1.0138448,0.1034471989,-260.6363218392,9.5691020767,2.8653064,0.6859359,0.7645143181
1.5012949728,0.3850522195,-44.74930486,40.8488419056,1,-111.1794415477,,,-3.4025817,12.288982,41,0.8864431587,-3.3145008,0,17.525396,0.8833492913,0.0042521954,1.1049141884,9.954906,0,0.08808088,0.4438057956,0.0746805668,1.0132011,0.0997936726,-111.1794415477,10.0617373362,2.863651,0.401818,0.8833492913
1.5251060427,0.2908182357,-94.4513095762,41.9631741047,2,-258.3794224651,,,2.160118,13.840711,42,0.4636564717,2.2536292,0,17.95327,0.4635595011,0.0066349506,1.1080818176,10.025533,244.072400719,0.093511105,-45.4101007409,0.1230797768,1.0256346,0.1603722572,-14.3070217461,10.1912292503,2.8877723,0.2990495,0.4635595011
1.4835171798,0.6120658408,-91.4181564287,43.0227811337,1,-384.5939468574,,,2.6396585,12.765136,43,0.8174360607,2.7499225,0,17.871267,0.8176939437,0.0039916039,1.0102450848,10.2742195,0,0.11026406,-52.7984812532,0.0683715343,1.0232949,0.0861783028,-384.5939468574,10.411551682,2.8831942,0.62248766,0.8176939437
1.4727991478,0.6877628223,-80.6692835077,44.1559076309,2,-298.7599108164,,,2.6542342,11.511402,44,0.7606472349,2.7706938,0,17.83479,0.7600619902,0.0071210861,1.1263399124,10.437096,106.7780279782,0.11645961,-0.217138528,0.1231176853,1.0223488,0.1580150127,-191.9818828382,10.5716262166,2.881151,0.6856762,0.7600619902
1.469651098,0.5410319325,0.0904789527,45.1754186153,1,24.9977802571,,,-1.7056345,12.058724,45,0.6014442844,-1.6351211,0,18.07111,0.6011788353,0.0044271946,1.0142028332,10.714104,0,0.07051337,-2.6938211979,0.0743975639,1.0288776,0.0993280411,24.9977802571,10.8620037596,2.8943145,0.5489439,0.6011788353
1.4250130946,0.720510654,-47.421580966,46.2042346001,1,-130.8205242236,,,-0.44638747,9.008437,46,0.618062045,-0.36735612,0,18.269955,0.6181913151,0.0038814545,1.0192365646,10.815278,0,0.07903135,-6.7377590703,0.0719001293,1.034739,0.0957067013,-130.8205242236,10.9342055461,2.905258,0.72112626,0.6181913151
1.5423389931,0.5667729916,-11.592159703,47.1595070362,1,-54.051277946,,,-1.4884869,14.126895,47,0.6673486836,-1.3522362,0,18.331648,0.6674255765,0.0036494732,0.9493157864,10.885767,0,0.13625073,-1205.0457750266,0.0669078827,1.0364608,0.0887975693,-54.051277946,11.0083727455,2.908629,0.5764506,0.6674255765
1.5174789966,0.6811265275,-23.0336437017,48.2312967777,2,-123.0665025425,,,-4.5608077,13.654649,48,0.4586040787,-4.467813,0,18.439924,0.4585797364,0.0065908432,1.0661048889,11.165698,184.3066834955,0.09299469,-239.0100434975,0.1136302948,1.039574,0.153860569,61.240180953,11.3204643955,2.914518,0.6872583,0.4585797364
1.4359651118,1.0767066688,-6.5569794923,49.1834571362,1,-15.0674653837,,,-1.8501593,10.53126,49,0.7820664328,-1.7481666,0,18.60611,0.7825209581,0.0039665699,0.9461736679,11.075471,0,0.10199273,-254.3191671076,0.0651228428,1.0442531,0.078802824,-15.0674653837,11.2120132987,2.92349,1.0785341,0.7825209581
1.5211546213,0.5341360637,19.1292507774,50.1674365997,1,22.990717832,,,-3.9166546,12.698125,50,0.8179010621,-3.8285973,0,18.413355,0.8177204495,0.0039288998,0.9769589901,11.425375,0,0.08805728,-5.8199883644,0.0659716129,1.0388293,0.0910668373,22.990717832,11.5700739113,2.9130762,0.54716575,0.8177204495
