ItrTime,Perplexity,EnvExecTime,MeanKLBefore,NumTrajs,AbsLearnSignalNew,AverageDiscountedReturn,StdReturn,dLoss,AbsLearnSignalOld,AveragePolicyStd,AverageReturn,MinReturn,LossAfter,ExplainedVariance,AbsLearnSignal,MaxReturn,Iteration,MeanKL,Entropy,LossBefore,PolicyExecTime,ProcessExecTime,Time,,,,,,
0.8761060238,17.079468,0.087069273,0,3,0.8856710475,-216.0333045476,77.8058883825,0.036735073,0.8857142094,1,-455.4610751027,-549.4769773312,-0.12430917,2.54474219474332E-12,0.8856710475,-358.9415900128,0,0.006766083,2.837877,-0.087574095,0.1112015247,0.0051765442,0.8761177063,,,,,,
0.3222548962,16.952969,0.0581831932,0,2,0.765739517,-93.78068108,161.1806596171,0.045175053,0.7656601985,0.99633205,-193.8107299921,-354.9913896092,-0.14910153,-3.7887025883,0.765739517,-32.630070375,1,0.006802975,2.830443,-0.10392647,0.063595295,0.0035872459,1.2120037079,,,,,,
0.3474113941,16.889294,0.0675582886,0,3,0.7509572715,-243.1309117274,231.8132268829,0.034437813,0.7509848486,0.994897,-435.116362263,-631.8659883206,-0.10309931,-9.9731030232,0.7509572715,-109.6441104081,2,0.0069937725,2.82668,-0.068661496,0.0750703812,0.0042898655,1.5649666786,,,,,,
0.9896233082,16.930086,3.6087537,0.0734920502,0,3,0.6943293725,-212.9042665375,143.4984978011,0.04282713,0.6942174416,-391.1186784919,,-3.965934841,-561.5445698111,3.57871,-3.6033654,78.99766,0.1216722044,0.6943293725,-210.4909017901,3,0.0075311954,4.7374585955,2.8290923,3.6215372,2.9588123953,0.0836405754,0.0046131611,2.5593502522
0.9602646828,17.182032,4.240418,0.0773158073,0,3,0.5905172315,-201.6722448011,192.0719651768,0.09500599,0.5905402303,-380.5003379792,,-4.2404898248,-621.0652447381,4.4966645,-4.2312517,93.66824,-4.5884258545,0.5905172315,-150.9757043881,4,0.006700985,4.8843718945,2.8438642,4.5916705,2.9561691402,0.0902836323,0.0049319267,3.5278615952
0.9491462708,17.177155,4.182898,0.0786013603,0,3,0.737073661,-129.9895627211,167.8980368099,0.08490467,0.7370341866,-263.77662846,,-4.0623127446,-499.8853684705,3.0448515,-4.1457067,70.97111,-10.2036942001,0.737073661,-123.9478855612,5,0.006677551,4.6897669955,2.8435802,3.1297562,2.6413715735,0.0879204273,0.0049622059,4.4853644371
0.927978754,16.956617,4.8822265,0.0740125179,0,3,0.7973330406,-266.627963074,145.5837177963,0.11034393,0.7974739472,-539.1822693731,,-4.8093384133,-726.111482313,7.567764,-4.803148,74.67058,-3.2389763521,0.7973330406,-370.9846023254,6,0.0072632595,5.327245533,2.8306582,7.6781077,2.6780483049,0.0847408772,0.0047683716,5.420409441
0.9535717964,16.798138,5.194254,0.0810759068,0,3,0.7084066565,-225.0812162778,95.8000036442,0.14837646,0.7077954554,-467.0151003565,,-5.0376752539,-575.2812165981,5.61013,-5.0910892,67.38913,-0.3203268302,0.7084066565,-342.3462562628,7,0.007218356,5.5929306153,2.821268,5.7585063,2.5132949501,0.0895748138,0.0049288273,6.3791072369
0.9486138821,16.735394,5.631836,0.0850715637,0,3,0.3815476927,-203.1311670503,121.7160421092,0.24280882,0.3817985313,-424.8332722588,,-5.5378429683,-561.2983683997,6.3949456,-5.479932,62.20673,-14.1384804108,0.3815476927,-265.7428653564,8,0.006536346,6.0111824564,2.8175259,6.6377544,2.4460539438,0.0903966427,0.0051019192,7.3332257271
0.8958699703,16.700668,6.3181634,0.0621652603,0,2,0.7339766717,-167.4770830905,278.658776713,0.21071053,0.733942935,-382.7985060304,,-6.1212581235,-661.4572827434,6.7146535,-6.1419344,57.684254,-19.0561617043,0.7339766717,-104.1397293174,9,0.006685513,6.5956969018,2.8154488,6.925364,2.3411398515,0.0663990974,0.0037944317,8.2361896038
